VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Vehicle_Location,Electric_Utility,_2020_Census_Tract
JTMEB3FV6N,Monroe,Key West,FL,33040,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,198968248,POINT (-81.80023 24.5545),NULL,12087972100
1G1RD6E45D,Clark,Laughlin,NV,89029,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,NULL,5204412,POINT (-114.57245 35.16815),NULL,32003005702
3C3CFFGE3G,St. Clair,Mascoutah,IL,62258,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,NULL,153786167,POINT (-89.79939 38.49028),NULL,17163504356
5YJXCAE28G,Saratoga,Greenfield Center,NY,12833,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,NULL,218050878,POINT (-73.84643 43.1284),NULL,36091060601
5YJSA1E22G,Newport News,Newport News,VA,23602,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,111593331,POINT (-76.53585 37.10499),NULL,51700032131
WBY1Z4C5XG,Jackson,Altus,OK,73521,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,NULL,212273260,POINT (-99.33374 34.63783),NULL,40065968500
5YJ3E1EB3J,Lake,Highland Park,IL,60035,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,128455015,POINT (-87.7992 42.18569),NULL,17097865501
5YJYGDEE2L,Lake,Gurnee,IL,60031,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,NULL,110357341,POINT (-87.91441 42.36495),NULL,17097861609
5YJ3E1EB0M,Geary,Junction City,KS,66441,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,169592412,POINT (-96.83046 39.02826),NULL,20061000300
3MW5P9J02M,Fairfax,Alexandria,VA,22308,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,NULL,144270374,POINT (-77.05745 38.74002),NULL,51059415500
WVWKR7AU6K,Sonoma,Sonoma,CA,95476,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,NULL,220375774,POINT (-122.45728 38.29188),NULL,6097150306
5YJ3E1EB5L,Douglas,Omaha,NE,68110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,105044733,POINT (-95.94513 41.30481),NULL,31055000500
5YJ3E1EA0J,Riverside,Wildomar,CA,92595,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,196439911,POINT (-117.26237 33.61236),NULL,6065043271
5YJXCDE46J,Orange,Aliso Viejo,CA,92656,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,NULL,229979662,POINT (-117.72682 33.56964),NULL,6059062639
5YJ3E1EB1M,Clark,Las Vegas,NV,89147,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,208268000,POINT (-115.29715 36.11477),NULL,32003005875
5YJYGAEE0M,Leavenworth,Fort Leavenworth,KS,66027,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,183244330,POINT (-94.93427 39.34433),NULL,20103981900
JTMAB3FV1M,Contra Costa,Moraga,CA,94556,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,170763764,POINT (-122.12775 37.85356),NULL,6013351200
1G1RB6S51H,Howard,Dayton,MD,21036,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,NULL,158341802,POINT (-76.99179 39.2416),NULL,24027605104
5YJ3E1EB8J,Larimer,Timnath,CO,80547,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,307712436,POINT (-104.98231 40.52978),NULL,8069002505
5YJ3E1EB2L,District of Columbia,Washington,DC,20009,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,108792855,POINT (-77.04405 38.92033),NULL,11001003600
5YJ3E1EBXM,Washington,Keedysville,MD,21756,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,142037626,POINT (-77.69839 39.48824),NULL,24043011501
5YJ3E1EC1L,Tipton,Atoka,TN,38004,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,NULL,5024582,POINT (-89.77858 35.44156),NULL,47167040302
5YJSA1E20H,San Diego,San Diego,CA,92124,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,151980573,POINT (-117.07993 32.8347),NULL,6073009506
JTDKARFP4H,Sumter,Sumter,SC,29153,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,151203090,POINT (-80.34689 33.95059),NULL,45085000401
5YJSA1E2XG,Prince George's,Upper Marlboro,MD,20774,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,207337350,POINT (-76.84002 38.90272),NULL,24033800521
3FA6P0SU5E,New Haven,Madison,CT,6443,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,148736234,POINT (-72.59507 41.27973),NULL,9009194201
1C4JJXP64M,Lincoln,Lincoln City,OR,97367,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,183141584,POINT (-124.01768 44.93009),NULL,41041950402
1G1FY6S08M,Las Animas,Trinidad,CO,81082,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,161523736,POINT (-104.50818 37.16772),NULL,8071000800
5YJ3E1EBXK,Frederick,Frederick,MD,21704,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,114252337,POINT (-77.38938 39.40161),NULL,24021752205
3FA6P0SU9E,Hidalgo,Mcallen,TX,78501,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,119899125,NULL,NULL,48215020732
7SAYGAEE0N,Bexar,San Antonio,TX,78258,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,196676735,POINT (-98.52212 29.61445),NULL,48029191812
